,bedrooms,bathrooms,guests,revenue,openness,hot_tub,pool,city_encoded,host_type Encoded,ID Encoded,Cluster
43317,4,3.0,10,5746.0,31,0.0,0.0,1,1,3529,4
43327,4,3.0,12,5745.0,31,0.0,0.0,1,1,3515,4
43376,4,3.0,12,5739.0,31,0.0,0.0,1,1,4082,4
43394,4,3.0,10,5736.0,30,0.0,0.0,1,1,2719,4
43395,4,3.0,10,5736.0,30,0.0,0.0,1,1,3303,4
43448,4,3.0,9,5729.0,29,0.0,0.0,1,1,4183,4
43503,4,3.0,9,5720.0,30,0.0,0.0,1,1,1927,4
43593,4,2.0,11,5704.0,31,0.0,0.0,1,1,3009,4
43801,4,2.0,12,5677.0,31,0.0,0.0,1,1,2999,4
43840,4,3.0,12,5673.0,31,0.0,0.0,1,1,3601,4
43942,4,3.0,10,5658.0,31,0.0,0.0,1,1,5252,4
43958,4,3.0,10,5655.0,31,0.0,0.0,1,1,1678,4
44013,4,3.0,11,5650.0,31,0.0,0.0,1,1,3966,4
44075,4,2.0,9,5640.0,29,0.0,0.0,1,1,1819,4
44115,4,3.0,10,5635.0,30,0.0,0.0,1,1,4734,4
44188,4,3.0,10,5625.0,30,0.0,0.0,1,1,5252,4
44210,4,2.5,8,5621.0,30,0.0,0.0,1,1,2692,4
44234,4,2.0,8,5617.0,31,0.0,0.0,1,1,4152,4
44245,4,2.5,11,5615.0,30,0.0,0.0,1,1,4896,4
44246,4,2.0,9,5615.0,30,0.0,0.0,1,1,5241,4
44376,4,3.0,11,5600.0,30,0.0,0.0,1,1,3966,4
44396,4,2.5,10,5598.0,30,0.0,0.0,1,1,2654,4
44449,4,3.0,12,5591.0,31,0.0,0.0,1,1,3515,4
44463,4,3.0,11,5590.0,30,0.0,0.0,1,1,4150,4
44473,4,3.0,8,5588.0,30,0.0,0.0,1,1,3118,4
44544,4,2.0,8,5578.0,30,0.0,0.0,1,1,3048,4
44629,4,2.5,10,5565.0,30,0.0,0.0,1,1,1440,4
44730,4,3.0,11,5550.0,31,0.0,0.0,1,1,4150,4
44873,4,3.0,12,5525.0,31,0.0,0.0,1,1,3601,4
44902,4,3.0,10,5520.0,31,0.0,0.0,1,1,2981,4
44903,4,2.0,10,5520.0,28,0.0,0.0,1,1,3022,4
44928,4,2.0,8,5517.0,31,0.0,0.0,1,1,3048,4
44988,4,3.0,11,5506.0,31,0.0,0.0,1,1,4948,4
45033,4,3.0,10,5500.0,31,0.0,0.0,1,1,1678,4
45117,4,3.0,11,5493.0,31,0.0,0.0,1,1,4150,4
45156,4,2.5,12,5489.0,30,0.0,0.0,1,1,3543,4
45259,4,3.0,10,5472.0,31,0.0,0.0,1,1,2606,4
45261,4,3.0,11,5472.0,31,0.0,0.0,1,1,3954,4
45330,4,2.0,10,5460.0,31,0.0,0.0,1,1,2597,4
45421,4,3.0,8,5448.0,30,0.0,0.0,1,1,3396,4
45452,4,3.0,11,5443.0,30,0.0,0.0,1,1,4198,4
45484,4,3.0,10,5438.0,30,0.0,0.0,1,1,3681,4
45587,4,2.5,8,5423.0,31,0.0,0.0,1,1,2917,4
